Дата и время;Пользователь/Роль;Действие;ID Документа;Детали/Примечание
05.08.2026 22:47:28;Оператор;ИЗМЕНЕНИЕ;УР1-02;Обновлена версия/данные документа
05.08.2026 22:55:58;Оператор;ИЗМЕНЕНИЕ;УР4-02;ID: 'УР4-01' -> 'УР4-02', Хранение копий: 'Полка №2' -> 'Полка'
05.08.2026 22:56:29;Оператор;ИЗМЕНЕНИЕ;УР4-02;Кол-во копий: 1 -> 0
05.08.2026 22:56:35;Оператор;ИЗМЕНЕНИЕ;УР4-02;Хранение копий: 'Полка' -> 'Полка88'
05.08.2026 22:56:42;Оператор;ИЗМЕНЕНИЕ;УР4-02;Изменений нет
05.08.2026 22:58:03;Оператор;ИЗМЕНЕНИЕ;УР4-02;Происхождение: 'Внешний' -> 'Внутренний'
05.08.2026 22:58:07;Оператор;ИЗМЕНЕНИЕ;УР4-02;Происхождение: 'Внутренний' -> 'Внешний'
05.08.2026 22:58:16;Оператор;ИЗМЕНЕНИЕ;УР4-02;Кол-во копий: 0 -> 1, Статус: 'Действует' -> 'Заменен'
05.08.2026 22:58:22;Оператор;ИЗМЕНЕНИЕ;УР4-02;Статус: 'Заменен' -> 'Отменен'
05.08.2026 22:58:29;Оператор;ИЗМЕНЕНИЕ;УР4-02;Статус: 'Отменен' -> 'Архив'
05.08.2026 23:01:18;Оператор;ИЗМЕНЕНИЕ;УР4-02;ID: 'УР4-01' -> 'УР4-02'
05.08.2026 23:01:39;Оператор;ИЗМЕНЕНИЕ;УР4-02;Изменений нет
05.08.2026 23:14:56;Оператор;ИЗМЕНЕНИЕ;УР4-01;Изменений нет
05.08.2026 23:15:02;Оператор;ИЗМЕНЕНИЕ;УР4-01;Изменений нет
05.08.2026 23:15:10;Оператор;ИЗМЕНЕНИЕ;УР1-01;Дата актуал.: '01.06.2026' -> ''
05.08.2026 23:15:32;Оператор;ИЗМЕНЕНИЕ;УР1-01;Изменений нет
05.08.2026 23:15:37;Оператор;ИЗМЕНЕНИЕ;УР1-01;Изменений нет
